date,count,compound,neg,neu,pos,retweets_count,likes_count,replies_count,compound_weighted_replies,compound_weighted_likes,compound_weighted_retweets
2014-05-05,3,0.13396666666666665,0.0,0.9460000000000001,0.054,52,54,14,0.0,0.12652407407407407,0.054101923076923075
2014-05-07,4,0.0,0.0,1.0,0.0,22621,924,4,0.0,0.0,0.0
2014-05-08,6,0.3639833333333333,0.017666666666666667,0.8221666666666666,0.16016666666666668,243,239,35,0.4934057142857142,0.40623472803347277,0.461758024691358
2014-05-11,2,0.47934999999999994,0.0,0.7875000000000001,0.2125,70,49,7,0.504742857142857,0.4974877551020408,0.5047428571428572
2014-05-12,1,0.4404,0.0,0.818,0.182,11,49,4,0.4404,0.44039999999999996,0.4404
2014-05-16,2,0.7906,0.0,0.731,0.269,72,62,12,0.7906,0.7906,0.7906
2014-05-17,1,0.0,0.0,1.0,0.0,22,25,0,,0.0,0.0
2014-05-18,2,0.2202,0.0,0.9235,0.0765,45,52,0,,0.2964230769230769,0.31317333333333336
2014-05-19,1,0.0,0.0,1.0,0.0,18,20,3,0.0,0.0,0.0
2014-05-21,2,0.29295,0.0,0.9165,0.0835,79,105,11,0.5859,0.42966,0.4004886075949367
2014-05-23,1,0.0,0.0,1.0,0.0,8,19,2,0.0,0.0,0.0
2014-05-25,1,0.5255,0.0,0.795,0.205,17,20,0,,0.5255,0.5255
2014-05-27,2,0.5946,0.0,0.743,0.257,33,34,0,,0.5946,0.5881515151515151
2014-05-29,1,0.6229,0.0,0.789,0.211,22,16,0,,0.6229,0.6229
2014-05-30,5,0.60908,0.036199999999999996,0.5966,0.3672,208,111,181,0.8150861878453038,0.5143333333333333,0.5952903846153846
2014-05-31,2,0.6171,0.0,0.7565,0.2435,47,29,4,0.3612,0.5906275862068966,0.6334340425531915
2014-06-01,3,0.0,0.0,1.0,0.0,99,93,3,0.0,0.0,0.0
2014-06-02,3,0.0,0.0,1.0,0.0,176,82,12,0.0,0.0,0.0
2014-06-05,2,-0.56515,0.242,0.758,0.0,49,30,3,-0.5877666666666667,-0.5561033333333333,-0.560995918367347
2014-06-06,3,0.5530333333333334,0.0,0.7873333333333333,0.21266666666666664,66,71,10,0.43789999999999996,0.5317718309859154,0.5233166666666667
2014-06-09,2,0.21075,0.0,0.9255,0.0745,50,37,4,0.4215,0.18227027027027026,0.28662
2014-06-10,1,0.4389,0.099,0.718,0.184,35,13,0,,0.4389,0.4389
2014-06-11,2,0.5106,0.0,0.751,0.249,26,34,0,,0.5106,0.5106
2014-06-12,1,0.3818,0.0,0.86,0.14,59,41,7,0.3818,0.3818,0.3818
2014-06-18,1,0.0,0.0,1.0,0.0,20,19,4,0.0,0.0,0.0
2014-06-21,3,0.29096666666666665,0.0,0.8916666666666666,0.10833333333333334,29,59,1,0.25,0.28756610169491525,0.15035517241379312
2014-06-23,2,0.68,0.0,0.699,0.301,34,36,0,,0.68,0.68
2014-06-24,1,0.0,0.0,1.0,0.0,16,12,0,,0.0,0.0
2014-06-30,2,0.2553,0.0,0.8845000000000001,0.1155,167,41,5,0.40848000000000007,0.28643414634146347,0.19873652694610777
2014-07-02,1,0.0,0.0,1.0,0.0,0,16,0,,0.0,
2014-07-05,2,0.0,0.0,1.0,0.0,54,39,5,0.0,0.0,0.0
2014-07-06,3,0.0,0.0,1.0,0.0,117,76,12,0.0,0.0,0.0
2014-07-07,1,0.0,0.0,1.0,0.0,57,37,4,0.0,0.0,0.0
2014-07-08,2,0.0,0.0,1.0,0.0,52,48,2,0.0,0.0,0.0
2014-07-11,3,0.0,0.0,1.0,0.0,67,56,9,0.0,0.0,0.0
2014-07-12,1,0.7096,0.0,0.718,0.282,9,27,4,0.7096,0.7095999999999999,0.7096
2014-07-13,2,0.19130000000000003,0.11399999999999999,0.768,0.118,62,45,8,0.5106,0.3403066666666667,0.19130000000000003
2014-07-14,1,0.4019,0.0,0.778,0.222,42,14,1,0.4019,0.4019,0.4019
2014-07-15,4,0.167875,0.0,0.94675,0.05325,86,66,7,0.22757142857142856,0.15261363636363637,0.05266279069767442
2014-07-17,2,0.21075,0.0,0.9165,0.0835,58,34,4,0.21075,0.2231470588235294,0.2834224137931034
2014-07-18,6,0.3538833333333333,0.0,0.8396666666666667,0.16033333333333333,1810,756,109,0.3837311926605504,0.35602870370370365,0.35201801104972374
2014-07-19,4,-0.100475,0.0775,0.9225,0.0,108,77,4,-0.100475,-0.09917012987012987,-0.040934259259259254
2014-07-20,2,0.1806,0.0,0.9139999999999999,0.086,64,61,3,0.24080000000000001,0.20724590163934428,0.19753125000000002
2014-07-21,5,0.054099999999999995,0.0424,0.8712,0.0866,265,178,11,0.14326363636363634,0.12870280898876404,0.1852343396226415
2014-07-23,1,0.0,0.0,1.0,0.0,56,24,0,,0.0,0.0
2014-07-24,6,0.00036666666666664477,0.143,0.7313333333333333,0.12566666666666668,238,167,18,0.05876666666666665,0.25908143712574855,0.40344033613445374
