,Date,Close/Last,Volume,Open,High,Low,label
0,09/17/2014,1235.9,125796.0,1235.3,1240.5,1222.0,0.0
1,09/18/2014,1226.9,139959.0,1223.1,1228.7,1216.3,0.0
2,09/19/2014,1216.6,169456.0,1225.6,1229.2,1214.2,0.0
3,09/22/2014,1217.9,129276.0,1216.4,1221.0,1208.8,1.0
4,09/23/2014,1222.0,147771.0,1214.9,1237.0,1214.7,1.0
5,09/24/2014,1219.5,126788.0,1223.2,1226.7,1216.2,0.0
6,09/25/2014,1221.9,174079.0,1217.3,1225.3,1206.6,1.0
7,09/26/2014,1215.4,140910.0,1222.1,1232.7,1212.8,0.0
8,09/29/2014,1218.8,100175.0,1219.1,1223.9,1215.3,1.0
9,09/30/2014,1211.6,174232.0,1215.7,1220.7,1204.3,0.0
10,10/01/2014,1215.5,139735.0,1209.4,1220.0,1205.0,1.0
11,10/02/2014,1215.1,142807.0,1213.4,1224.0,1209.1,0.0
12,10/03/2014,1192.9,179606.0,1213.9,1215.7,1190.3,0.0
13,10/06/2014,1207.3,139665.0,1192.0,1209.9,1183.3,1.0
14,10/07/2014,1212.4,135364.0,1207.8,1214.1,1203.0,1.0
15,10/08/2014,1206.0,181661.0,1209.8,1224.5,1205.1,0.0
16,10/09/2014,1225.3,157170.0,1221.1,1234.0,1219.3,1.0
17,10/10/2014,1221.7,112422.0,1224.0,1225.7,1217.6,0.0
18,10/13/2014,1230.0,117007.0,1224.8,1238.0,1223.6,1.0
19,10/14/2014,1234.3,107239.0,1237.3,1238.6,1231.1,1.0
20,10/15/2014,1244.8,250999.0,1233.3,1250.3,1222.0,1.0
21,10/16/2014,1241.2,175162.0,1242.2,1245.6,1235.2,0.0
22,10/17/2014,1239.0,111015.0,1239.5,1242.1,1232.0,0.0
23,10/20/2014,1244.7,89814.0,1239.1,1249.3,1234.9,1.0
24,10/21/2014,1251.7,143007.0,1246.8,1255.6,1245.7,1.0
25,10/22/2014,1245.5,104839.0,1248.9,1250.2,1240.7,0.0
26,10/23/2014,1229.1,133022.0,1241.7,1244.9,1226.3,0.0
27,10/24/2014,1231.8,87609.0,1233.5,1234.7,1228.7,1.0
28,10/27/2014,1229.3,76013.0,1230.6,1232.1,1225.2,0.0
29,10/28/2014,1229.4,117653.0,1225.8,1235.5,1222.2,1.0
30,10/29/2014,1224.9,125790.0,1227.8,1230.4,1208.2,0.0
31,10/30/2014,1198.6,199565.0,1211.2,1216.5,1195.5,0.0
32,10/31/2014,1171.6,284628.0,1174.2,1202.4,1160.5,0.0
33,11/03/2014,1169.8,123328.0,1171.1,1173.4,1161.0,0.0
34,11/04/2014,1167.7,128618.0,1164.6,1175.0,1163.4,0.0
35,11/05/2014,1145.7,248355.0,1168.4,1169.3,1137.1,0.0
36,11/06/2014,1142.6,156991.0,1140.8,1149.0,1137.2,0.0
37,11/07/2014,1169.8,287074.0,1141.2,1179.0,1130.4,1.0
38,11/10/2014,1159.8,191823.0,1176.8,1177.5,1146.7,0.0
39,11/11/2014,1163.0,177153.0,1151.5,1172.5,1145.5,1.0
40,11/12/2014,1159.1,176818.0,1163.0,1169.4,1156.5,0.0
41,11/13/2014,1161.5,182262.0,1161.1,1167.4,1153.0,1.0
42,11/14/2014,1185.6,283691.0,1161.8,1192.9,1146.0,1.0
43,11/17/2014,1183.5,190706.0,1185.5,1193.6,1180.8,0.0
44,11/18/2014,1197.1,162294.0,1185.6,1204.1,1182.7,1.0
45,11/19/2014,1193.9,259726.0,1196.5,1201.7,1173.9,0.0
46,11/20/2014,1190.9,179855.0,1183.1,1196.6,1176.2,0.0
47,11/21/2014,1197.7,192712.0,1194.0,1207.6,1186.1,1.0
48,11/24/2014,1196.6,69118.0,1200.7,1204.5,1192.8,0.0
49,11/25/2014,1197.8,119619.0,1198.2,1203.0,1190.0,1.0
50,11/26/2014,1197.5,390.0,1201.6,1198.0,1195.9,0.0
51,11/27/2014,1197.5,,1197.5,1197.5,1197.5,0.0
52,11/28/2014,1175.5,240723.0,1189.8,1199.3,1163.9,0.0
53,12/01/2014,1218.1,327764.0,1159.4,1221.0,1141.7,1.0
54,12/02/2014,1199.4,156062.0,1212.6,1212.6,1191.4,0.0
55,12/03/2014,1208.7,133221.0,1197.6,1215.0,1193.5,1.0
56,12/04/2014,1207.7,111730.0,1209.3,1213.5,1201.1,0.0
57,12/05/2014,1190.4,144926.0,1205.9,1208.5,1186.4,0.0
58,12/08/2014,1194.9,99059.0,1191.2,1209.3,1187.3,1.0
59,12/09/2014,1232.0,228024.0,1203.8,1239.0,1199.5,1.0
60,12/10/2014,1229.4,135569.0,1231.2,1238.9,1225.2,0.0
61,12/11/2014,1225.6,136860.0,1226.2,1233.4,1216.4,0.0
62,12/12/2014,1222.5,116467.0,1227.9,1228.9,1214.8,0.0
63,12/15/2014,1207.7,145843.0,1222.0,1225.0,1191.3,0.0
64,12/16/2014,1194.3,221571.0,1195.4,1223.9,1187.8,0.0
65,12/17/2014,1194.5,154962.0,1195.3,1203.1,1182.0,1.0
66,12/18/2014,1194.8,129127.0,1189.4,1213.9,1188.5,1.0
67,12/19/2014,1196.0,68747.0,1198.0,1201.5,1193.2,1.0
68,12/22/2014,1179.8,122922.0,1196.0,1203.6,1170.7,0.0
69,12/23/2014,1178.0,92893.0,1176.1,1184.9,1172.4,0.0
70,12/24/2014,1173.5,40192.0,1176.8,1181.2,1172.7,0.0
71,12/25/2014,1173.5,,1173.5,1173.5,1173.5,0.0
72,12/26/2014,1195.3,65571.0,1175.2,1199.1,1175.2,1.0
73,12/29/2014,1181.9,78521.0,1194.9,1197.5,1178.6,0.0
74,12/30/2014,1200.4,131961.0,1182.9,1210.9,1180.5,1.0
75,12/31/2014,1184.1,67231.0,1199.8,1203.9,1179.5,0.0
76,01/01/2015,1184.1,,1184.1,1184.1,1184.1,0.0
77,01/02/2015,1186.2,112280.0,1184.0,1194.9,1167.3,1.0
78,01/05/2015,1204.0,142942.0,1187.8,1207.5,1177.8,1.0
79,01/06/2015,1219.4,180653.0,1204.0,1223.3,1201.6,1.0
80,01/07/2015,1210.7,111150.0,1219.0,1219.4,1209.1,0.0
81,01/08/2015,1208.5,113091.0,1211.0,1216.8,1204.2,0.0
82,01/09/2015,1216.1,148809.0,1208.9,1224.0,1207.0,1.0
83,01/12/2015,1232.8,132313.0,1223.0,1236.0,1217.5,1.0
84,01/13/2015,1234.4,168374.0,1233.1,1244.5,1227.4,1.0
85,01/14/2015,1234.5,184208.0,1231.2,1244.6,1224.9,1.0
86,01/15/2015,1264.8,272750.0,1229.7,1267.2,1226.1,1.0
87,01/16/2015,1276.9,204198.0,1263.5,1282.4,1255.2,1.0
88,01/19/2015,1276.9,,1276.9,1276.9,1276.9,0.0
89,01/20/2015,1294.2,231185.0,1276.3,1297.2,1272.1,1.0
90,01/21/2015,1293.7,195098.0,1295.3,1307.0,1284.6,0.0
91,01/22/2015,1300.7,198887.0,1293.7,1307.8,1279.1,1.0
92,01/23/2015,1292.6,140604.0,1301.5,1302.9,1284.3,0.0
93,01/26/2015,1279.4,157859.0,1292.8,1299.2,1275.6,0.0
94,01/27/2015,1292.9,84273.0,1281.9,1298.6,1273.0,1.0
95,01/28/2015,1287.2,140642.0,1293.5,1294.6,1280.2,0.0
96,01/29/2015,1255.9,233577.0,1284.0,1286.6,1252.1,0.0
97,01/30/2015,1279.2,156292.0,1259.0,1285.4,1257.5,1.0
