,Date,Open,High,Low,Close,Adj Close,Volume,Daily_Change,Daily_Change_Ind,MACD,PROC_3,PROC_5,PROC_10,wpr,sto_os
0,2014-09-17,465.864014,468.174011,452.421997,457.334015,457.334015,21056800,,,,,,,,
1,2014-09-18,456.859985,456.859985,413.104004,424.440002,424.440002,34483200,-32.89401300000003,0.0,,,,,,
2,2014-09-19,424.102997,427.834991,384.532013,394.79599,394.79599,37919700,-29.644011999999975,0.0,,,,,,
3,2014-09-20,394.673004,423.29599,389.882996,408.903992,408.903992,36863600,14.108001999999999,1.0,,-0.10589639390807178,,,,
4,2014-09-21,408.084991,412.425995,393.181,398.821014,398.821014,26580100,-10.082978000000026,0.0,,-0.06035950400358353,,,,
5,2014-09-22,399.100006,406.915985,397.130005,402.152008,402.152008,24127600,3.3309940000000324,1.0,,0.018632453688296087,-0.12066018531335351,,,
6,2014-09-23,402.09201,441.557007,396.196991,435.790985,435.790985,45099500,33.638976999999954,1.0,,0.06575380413503021,0.026743433574858914,,,
7,2014-09-24,435.751007,436.112,421.131989,423.204987,423.204987,30627700,-12.585997999999961,0.0,,0.061140140925472965,0.07195867668260764,,,
8,2014-09-25,423.156006,423.519989,409.467987,411.574005,411.574005,26814400,-11.630982000000017,0.0,,0.023428944311027725,0.006529681911249189,,,
9,2014-09-26,411.428986,414.937988,400.009003,404.424988,404.424988,21460800,-7.149017000000015,0.0,,-0.07197486428040725,0.01405135086487693,,,
10,2014-09-27,403.556,406.622986,397.372009,399.519989,399.519989,15029300,-4.904998999999975,0.0,,-0.05596578189661079,-0.0065448361506130134,-0.12641532032118802,,
11,2014-09-28,399.471008,401.016998,374.332001,377.181,377.181,23613300,-22.338989000000026,0.0,,-0.08356457060498759,-0.1344910450591354,-0.11134436381422883,,
12,2014-09-29,376.928009,385.210999,372.23999,375.46701,375.46701,32497700,-1.713989999999967,0.0,,-0.07160284072259147,-0.11280107386825287,-0.04895941318958179,,
13,2014-09-30,376.088013,390.97699,373.442993,386.944,386.944,34707300,11.47699,1.0,,-0.03147774666163197,-0.0598434417645011,-0.053704518492448464,,
14,2014-10-01,387.427002,391.378998,380.779999,383.61499,383.61499,26229400,-3.3290100000000393,0.0,,0.01705809677581849,-0.05145576711990904,-0.03812743929285535,-90.04729683222202,9.952703167777985
15,2014-10-02,383.988007,385.497009,372.946014,375.071991,375.071991,21777700,-8.542998999999952,0.0,,-0.0010520737893856258,-0.061193428797376104,-0.06733776398301608,-100.65482919519144,-0.654829195191449
16,2014-10-03,375.181,377.695007,357.859009,359.511993,359.511993,30901200,-15.559998000000007,0.0,,-0.07089399758104531,-0.04684490204967898,-0.17503572727646022,-125.62624472994402,-25.62624472994401
17,2014-10-04,359.891998,364.487,325.885986,328.865997,328.865997,47236500,-30.645996000000025,0.0,,-0.14271859658038907,-0.12411480039218364,-0.22291559149325435,-140.17619425280296,-40.17619425280298
18,2014-10-05,328.915985,341.800995,289.29599,320.51001,320.51001,83308096,-8.35598699999997,0.0,,-0.1454706891189857,-0.17168890071948392,-0.22125788775216737,-107.81481219338549,-7.81481219338549
19,2014-10-06,320.389008,345.134003,302.559998,330.07901,330.07901,79011800,9.56899999999996,1.0,,-0.08186926604142532,-0.13955653818428732,-0.18383131657532498,-91.69941093922917,8.300589060770838
20,2014-10-07,330.584015,339.247009,320.481995,336.187012,336.187012,49199900,6.108001999999999,1.0,,0.02226139238104324,-0.10367337453358398,-0.15852267406825551,-86.40105012991089,13.598949870089113
21,2014-10-08,336.115997,354.364014,327.187988,352.940002,352.940002,54736300,16.75299000000001,1.0,,0.10118246228877521,-0.018280310887987608,-0.06426887356468113,-68.42105334908447,31.57894665091553
22,2014-10-09,352.747986,382.726013,347.687012,365.026001,365.026001,83641104,12.085999000000015,1.0,,0.10587462377568337,0.1099536112880652,-0.027808059621536412,-51.1157060482576,48.8842939517424
23,2014-10-10,364.687012,375.066986,352.963013,361.562012,361.562012,43665700,-3.4639890000000264,0.0,,0.0754788230783883,0.12808336937744927,-0.06559602423089655,-51.07905289565829,48.92094710434171
24,2014-10-11,361.362,367.19101,355.950989,362.299011,362.299011,13345200,0.7369990000000257,1.0,,0.02651728040733681,0.09761299574910876,-0.055566074203721734,-47.10921135670724,52.89078864329275
25,2014-10-12,362.605988,379.433014,356.144012,378.549011,378.549011,17552800,16.25,1.0,-19.267391644272948,0.037046703420998216,0.12600724444405373,0.009270273663276502,-12.636587084412678,87.36341291558732
