,Date,Open,High,Low,Close,Adj Close**,Volume,Daily_Change,Daily_Change_Ind,MACD,PROC_3,PROC_5,PROC_10,wpr,sto_os,Daily_Change_Perc,Weekly_Change,Weekly_Change_Perc,RSI,streak,Close/Last_Gold,Open_Gold,Daily_Change_Gold,Daily_Change_Perc_Gold,Increased_Gold,RSI_Gold,Close/Last_SP500,Open_SP500,Daily_Change_SP500,Daily_Change_Perc_SP500,Increased_SP500,RSI_SP500,label,count,compound,compound_times_retweets,likes_count,neg,neg_times_retweets,neu,pos,pos_times_retweets,replies_count,retweets_count,pos_weighted,neg_weighted,compound_weighted,count_avg7,count_daily_diff,count_weekly_diff,replies_count_avg7,replies_count_daily_diff,replies_count_weekly_diff,retweets_count_avg7,retweets_count_daily_diff,retweets_count_weekly_diff,likes_count_avg7,likes_count_daily_diff,likes_count_weekly_diff,compound_weighted_avg7,compound_weighted_daily_diff,compound_weighted_weekly_diff,pos_weighted_avg7,pos_weighted_daily_diff,pos_weighted_weekly_diff,neg_weighted_avg7,neg_weighted_daily_diff,neg_weighted_weekly_diff,goog_trend_score
1274,2019-11-04,0.0026,0.0026,0.0026,0.0026,0.0026,"64,040,500",0.0,0,3.1160932728349546e-05,0.0,0.0,-0.0370370370370371,-66.66666666666671,33.333333333333286,0.0,-0.00010000000000000026,-0.03703703703703713,51.6060095100812,-6.0,1511.1,1516.4,-5.300000000000182,-0.0034951200211027,0,54.79160548647442,3078.27,3078.96,-0.6900000000000546,-0.0002241016447112,0,33.93296423338931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
1518,2020-10-22,0.0026,0.0027,0.0026,0.0027,0.0027,"44,976,452",0.0001,1,-2.7524200668266417e-05,0.0384615384615385,0.0384615384615385,0.0,-0.0,100.0,0.038461538461538464,0.00010000000000000026,0.03846153846153856,57.4234863674038,1.0,1904.6,1927.4,-22.800000000000185,-0.0118294074919581,0,47.09686567683952,3453.49,3438.5,14.989999999999782,0.0043594590664533,1,46.629952603753615,0.0,1.0,0.9812,112.838,140.0,0.0,0.0,0.661,0.339,38.985,208.0,115.0,0.3389999999999999,0.0,0.9812,3.7142857142857135,-1.0,-2.7142857142857144,844.1428571428571,-200.0,-636.1428571428571,653.5714285714286,-163.0,-538.5714285714286,692.2857142857143,-155.0,-552.2857142857143,0.7216169176271474,0.0658999999999999,0.2595830823728525,0.201763596817041,0.1209999999999999,0.1372364031829589,0.0035988892317186,0.0,-0.0035988892317186,8
1419,2020-06-03,0.0026,0.0026,0.0025,0.0026,0.0026,"190,021,630",0.0,0,4.774007393212312e-05,0.0,0.0399999999999999,0.0399999999999999,-0.0,100.0,0.0,9.999999999999983e-05,0.03999999999999993,66.8696475040536,-4.0,1704.8,1733.7,-28.90000000000009,-0.0166695506719732,0,46.09174782652792,3122.87,3098.9,23.9699999999998,0.0077350027429087,1,47.8596215299262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51
648,2017-05-10,0.0013,0.0014,0.0012,0.0012,0.0012,"9,734,520",-0.0001,0,0.0002142382800351,-0.0769230769230769,0.4999999999999998,0.7142857142857142,-30.00000000000001,69.99999999999999,-0.07692307692307693,0.0006,1.0,69.2568421093352,-2.0,1218.9,1222.1,-3.199999999999818,-0.0026184436625479,0,30.88956949478178,2399.63,2396.79,2.840000000000145,0.0011849181613742,1,46.15237500012614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44
64,2015-01-14,0.0001,0.0001,0.0001,0.0001,0.0001,"578,144",0.0,0,-1.4465842307311808e-05,-0.5,-0.5,-0.5,-100.0,0.0,0.0,-0.0001,-0.5,2.91750916399603,-52.0,1234.5,1231.2,3.2999999999999545,0.0026803118908381,1,62.8326205818379,2011.27,2018.4,-7.130000000000109,-0.0035325009908839,0,41.73091358283303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59
663,2017-06-01,0.0027,0.0029,0.0027,0.0029,0.0029,"23,980,700",0.0001999999999999,1,0.0004471573170135,0.0740740740740739,0.1599999999999999,-0.1470588235294117,-36.36363636363637,63.636363636363626,0.07407407407403703,-0.0008000000000000004,-0.2162162162162163,64.38620515107891,2.0,1270.1,1271.6,-1.5,-0.0011796162315193,0,58.72245296062818,2430.06,2415.65,14.409999999999854,0.0059652681472894,1,45.60064721419136,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
223,2015-09-01,0.0001,0.0001,0.0001,0.0001,0.0001,"68,704",0.0,0,-2.2208140137691912e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.36215260037929,-15.0,1139.8,1133.8,6.0,0.005291938613512,1,56.22949621018469,1913.85,1970.09,-56.24000000000001,-0.0285469191762812,0,40.12136372391983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51
1144,2019-05-01,0.0025,0.0026,0.0025,0.0025,0.0025,"30,316,781",0.0,0,-5.460815016142739e-05,0.0,0.0,-0.1071428571428571,-100.0,0.0,0.0,-0.0002999999999999999,-0.10714285714285711,39.1822200192311,-13.0,1284.2,1285.2,-1.0,-0.0007780890133831,0,45.71484465728892,2923.73,2952.33,-28.59999999999991,-0.0096872639576198,0,58.577903188089046,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
1470,2020-08-14,0.0035,0.0036,0.0035,0.0036,0.0036,"61,334,639",9.999999999999984e-05,1,9.443063175911546e-05,0.0588235294117647,0.0285714285714285,0.0285714285714285,-20.00000000000005,79.99999999999994,0.028571428571428525,0.0,0.0,58.79411382334079,1.0,1949.8,1963.8,-14.0,-0.0071290355433343,0,53.53114681954322,3372.85,3368.66,4.190000000000055,0.0012438180166594,1,44.5996699984693,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
243,2015-09-30,0.0001,0.0001,0.0001,0.0001,0.0001,"39,325",0.0,0,-3.089542176388946e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.36215260037929,-44.0,1115.2,1127.2,-12.0,-0.0106458481192335,0,45.50589219011044,1920.03,1887.14,32.88999999999987,0.0174284896722023,1,24.36585398288264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78
