,Unnamed: 0,Date,Open,High,Low,Close,Adj Close**,Volume,Daily_Change,Daily_Change_Ind,MACD,PROC_3,PROC_5,PROC_10,wpr,sto_os,Daily_Change_Perc,Weekly_Change,Weekly_Change_Perc,RSI,streak,Close/Last_Gold,Open_Gold,Daily_Change_Gold,Daily_Change_Perc_Gold,Increased_Gold,RSI_Gold,Close/Last_SP500,Open_SP500,Daily_Change_SP500,Daily_Change_Perc_SP500,Increased_SP500,RSI_SP500,label,count,compound,compound_times_retweets,likes_count,neg,neg_times_retweets,neu,pos,pos_times_retweets,replies_count,retweets_count,pos_weighted,neg_weighted,compound_weighted,count_avg7,count_daily_diff,count_weekly_diff,replies_count_avg7,replies_count_daily_diff,replies_count_weekly_diff,retweets_count_avg7,retweets_count_daily_diff,retweets_count_weekly_diff,likes_count_avg7,likes_count_daily_diff,likes_count_weekly_diff,compound_weighted_avg7,compound_weighted_daily_diff,compound_weighted_weekly_diff,pos_weighted_avg7,pos_weighted_daily_diff,pos_weighted_weekly_diff,neg_weighted_avg7,neg_weighted_daily_diff,neg_weighted_weekly_diff,goog_trend_score
332,1596,2021-02-16,4.251396151056909,4.023273204099257,4.051846036687413,3.847900292835255,0.0535,2.881022090755615,-1.972978992416947,0,7.19493333289195,-1.4375633663473748,-1.0619708349890915,-0.3376295707272462,0.04401732665774085,0.05750670581174554,-0.784931673260274,-6.069634336470478,-1.109466042120609,0.3846782809266925,-0.3599662678691286,1.3783709017141261,1.3568757514832945,0.3345837569778309,0.2987516892028269,1,-1.1790787261992184,2.4829708267061057,2.5101242187772512,-0.2715824164034159,-0.20026706796969165,0,0.8114574749722296,0.0,-0.21962292783681597,0.0,-0.16435571016975883,-0.11174310629433754,0.0,-0.10204667842189154,0.0,0.0,-0.21672993440500318,-0.2034633455148052,-0.17712653646092266,-0.6069305659386997,-0.28758906029675474,-0.587268551545722,-0.2907755515849132,-0.020776039476360485,-0.022495347388362057,-0.36198519922272543,-0.031658321031561146,-0.011804089311698351,-0.23585040924458878,-0.010243581499433375,-0.004082323352943648,-0.14922418870113863,-0.024124948354229122,-0.009545030548265743,-0.7310840243693665,-0.0059928707175038965,-0.02894167009544517,-0.7366809053397082,-0.02331270304362468,-0.008223705587156434,-0.5638025103031238,0.0015296459517068945,0.04371449074527937,-1.1568157046323984
333,897,2018-05-07,-0.06252950739751281,-0.08453126707983405,-0.07512129993753644,-0.08141387480125592,0.0048,-0.18465737675125873,-0.16914948290062418,0,-0.03950228218680328,-0.716788635489709,-0.49280686767085397,-0.4418325505547849,-1.2274878982162745,-1.2159265801030203,-0.6060221459643632,-0.21522427876770425,-0.47989471842150644,-0.1331453917662302,-0.3599662678691286,-0.6417095788608664,-0.633247332749684,-0.12803853799233242,-0.1705433547083754,0,-0.8327050360125268,-0.6738026395185115,-0.6831635984883329,0.10251187697985646,0.11212353048853484,1,-0.8415629665966414,1.0,-0.21962292783681597,0.0,-0.16435571016975883,-0.11174310629433754,0.0,-0.10204667842189154,0.0,0.0,-0.21672993440500318,-0.2034633455148052,-0.17712653646092266,-0.6069305659386997,-0.28758906029675474,-0.587268551545722,-0.2907755515849132,-0.020776039476360485,-0.022495347388362057,-0.36198519922272543,-0.031658321031561146,-0.011804089311698351,-0.23585040924458878,-0.010243581499433375,-0.004082323352943648,-0.14922418870113863,-0.024124948354229122,-0.009545030548265743,-0.7310840243693665,-0.0059928707175038965,-0.02894167009544517,-0.7366809053397082,-0.02331270304362468,-0.008223705587156434,-0.5638025103031238,0.0015296459517068945,0.04371449074527937,1.6879666719244752
334,813,2018-01-04,0.2976623436967398,0.29095360231496403,0.2984403986362738,0.3058696571218499,0.0096,-0.10937008907940965,0.15296292951294047,1,0.7362843717383285,0.5308689626682721,0.7830229935531107,0.053373403408230394,1.1028218745942189,1.1179167837599842,0.381021872107441,0.09290256637452454,0.08912856745306243,1.3016151746513158,1.379610527071708,-0.6104647786869905,-0.6365732121467725,0.49127840527416855,0.5886020008529138,1,1.7834672591675853,-0.5451224550481352,-0.5575940440916273,0.15377261105860882,0.1636545882968725,1,-0.1175493691833949,1.0,-0.21962292783681597,0.0,-0.16435571016975883,-0.11174310629433754,0.0,-0.10204667842189154,0.0,0.0,-0.21672993440500318,-0.2034633455148052,-0.17712653646092266,-0.6069305659386997,-0.28758906029675474,-0.587268551545722,-0.2907755515849132,-0.020776039476360485,-0.022495347388362057,-0.36198519922272543,-0.031658321031561146,-0.011804089311698351,-0.23585040924458878,-0.010243581499433375,-0.004082323352943648,-0.14922418870113863,-0.024124948354229122,-0.009545030548265743,-0.7310840243693665,-0.0059928707175038965,-0.02894167009544517,-0.7366809053397082,-0.02331270304362468,-0.008223705587156434,-0.5638025103031238,0.0015296459517068945,0.04371449074527937,0.03491745311439999
335,644,2017-05-04,-0.42272135849176545,-0.3999385573714644,-0.42200002004178877,-0.41221855831890875,0.0007,-0.2039137691669373,-0.04030451793517254,0,-0.12624820554084218,-0.036387126690319085,-0.10395440225151245,0.8919655912377051,0.9950618851000925,1.0099933912114065,-0.05962277881738973,-0.025607758680187966,1.0527245791906552,1.4583185566827612,0.3855666442483728,-0.997900300843052,-0.9566891041165643,-0.7025855817455992,-0.9313514869406307,0,-1.6692242196902722,-1.3831220909478044,-1.3859760173609483,-0.026185285175320924,-0.02688157953719204,0,-0.09478405099932373,1.0,-0.21962292783681597,0.0,-0.16435571016975883,-0.11174310629433754,0.0,-0.10204667842189154,0.0,0.0,-0.21672993440500318,-0.2034633455148052,-0.17712653646092266,-0.6069305659386997,-0.28758906029675474,-0.587268551545722,-0.2907755515849132,-0.020776039476360485,-0.022495347388362057,-0.36198519922272543,-0.031658321031561146,-0.011804089311698351,-0.23585040924458878,-0.010243581499433375,-0.004082323352943648,-0.14922418870113863,-0.024124948354229122,-0.009545030548265743,-0.7310840243693665,-0.0059928707175038965,-0.02894167009544517,-0.7366809053397082,-0.02331270304362468,-0.008223705587156434,-0.5638025103031238,0.0015296459517068945,0.04371449074527937,-0.2726265875944512
336,1605,2021-03-01,3.547765558221624,3.4074780182917874,3.785016251991836,3.6139164922983786,0.0506,1.1459008458662585,1.570257544132973,1,1.047072351438076,-0.022105431654135182,-0.5408981619806659,-0.36500207288505243,-0.3127525328513554,-0.29980414562815594,0.6503556088475957,-1.3529233992929444,-0.435867611269604,0.07735048116521506,0.8825885856600404,1.06175692661885,1.0982886283596442,-0.6951239318267155,-0.6500035896208496,0,-1.9709503813468483,2.4058779669679144,2.266024043964035,2.139853393131328,1.588432698419187,1,0.2521677463251622,0.0,-0.21962292783681597,0.0,-0.16435571016975883,-0.11174310629433754,0.0,-0.10204667842189154,0.0,0.0,-0.21672993440500318,-0.2034633455148052,-0.17712653646092266,-0.6069305659386997,-0.28758906029675474,-0.587268551545722,-0.2907755515849132,-0.020776039476360485,-0.022495347388362057,-0.36198519922272543,-0.031658321031561146,-0.011804089311698351,-0.23585040924458878,-0.010243581499433375,-0.004082323352943648,-0.14922418870113863,-0.024124948354229122,-0.009545030548265743,-0.7310840243693665,-0.0059928707175038965,-0.02894167009544517,-0.7366809053397082,-0.02331270304362468,-0.008223705587156434,-0.5638025103031238,0.0015296459517068945,0.04371449074527937,-1.3490307300754303
337,1525,2020-11-02,-0.26356681963616546,-0.2647640043893371,-0.26190214922444155,-0.2669872338477441,0.0025,-0.1626850127269364,-0.10472700041789824,0,-0.19458872371494512,-0.313781587970069,-0.2624865612301663,-0.2522458581595306,-2.561017768206085,-2.5514785628916665,-0.5850067856894788,-0.12041601872393426,-0.3688353490293207,-1.1892916087255407,-1.3540101506924638,1.7678894105484462,1.6977783896848908,1.192673497648289,1.0243313150719133,1,-0.5360478988344362,0.9237007175717747,0.8926526072780577,0.49405663302823843,0.4273734649487318,1,-2.115320047419377,0.0,-0.21962292783681597,0.0,-0.16435571016975883,-0.11174310629433754,0.0,-0.10204667842189154,0.0,0.0,-0.21672993440500318,-0.2034633455148052,-0.17712653646092266,-0.6069305659386997,-0.28758906029675474,-0.587268551545722,-0.2907755515849132,-0.020776039476360485,-0.022495347388362057,-0.36198519922272543,-0.031658321031561146,-0.011804089311698351,-0.23585040924458878,-0.010243581499433375,-0.004082323352943648,-0.14922418870113863,-0.024124948354229122,-0.009545030548265743,-0.7310840243693665,-0.0059928707175038965,-0.02894167009544517,-0.7366809053397082,-0.02331270304362468,-0.008223705587156434,-0.5638025103031238,0.0015296459517068945,0.04371449074527937,-1.2721447198982176
338,1602,2021-02-24,3.4891296754853505,4.038292598875048,3.624918381174488,4.098020907202261,0.0566,3.550618522942655,5.8865638704756025,1,2.861584730809114,0.04088704466618217,0.00825529285134585,-0.3982231504405258,-0.14148906291737479,-0.12828097843330377,2.591682167254423,0.6617521266371446,0.02703421626207731,0.3874077248368753,0.8825885856600404,1.373788331021958,1.3984492439469038,-0.49365938401712617,-0.44277100343944403,0,-0.8391544245390461,2.4650317667215274,2.3444578797433584,1.8639179522392872,1.3719574743383764,1,0.6741769217445976,0.0,-0.21962292783681597,0.0,-0.16435571016975883,-0.11174310629433754,0.0,-0.10204667842189154,0.0,0.0,-0.21672993440500318,-0.2034633455148052,-0.17712653646092266,-0.6069305659386997,-0.28758906029675474,-0.587268551545722,-0.2907755515849132,-0.020776039476360485,-0.022495347388362057,-0.36198519922272543,-0.031658321031561146,-0.011804089311698351,-0.23585040924458878,-0.010243581499433375,-0.004082323352943648,-0.14922418870113863,-0.024124948354229122,-0.009545030548265743,-0.7310840243693665,-0.0059928707175038965,-0.02894167009544517,-0.7366809053397082,-0.02331270304362468,-0.008223705587156434,-0.5638025103031238,0.0015296459517068945,0.04371449074527937,-1.2721447198982176
339,1037,2018-11-23,-0.2803199289893865,-0.27978339916512907,-0.2796908015374801,-0.2750556407628088,0.0024,-0.19785798735406643,-0.04030451793517254,0,-0.46877819948541793,0.27718922084331166,-0.42101872020882136,-0.6018083396753232,-0.6051739588876909,-0.5926689881349799,-0.05962277881738973,-0.16782014874581927,-0.5750884636148084,-1.7446192590533975,0.13705567354253897,-1.020396556968242,-1.0011727410526265,-0.3071181360452875,-0.4202700138811361,0,-0.03362170314295396,-0.7741962335942131,-0.7736641782337067,-0.0454535043680527,-0.046705359895067106,0,0.5239989762529422,0.0,-0.21962292783681597,0.0,-0.16435571016975883,-0.11174310629433754,0.0,-0.10204667842189154,0.0,0.0,-0.21672993440500318,-0.2034633455148052,-0.17712653646092266,-0.6069305659386997,-0.28758906029675474,-0.587268551545722,-0.2907755515849132,-0.020776039476360485,-0.022495347388362057,-0.36198519922272543,-0.031658321031561146,-0.011804089311698351,-0.23585040924458878,-0.010243581499433375,-0.004082323352943648,-0.14922418870113863,-0.024124948354229122,-0.009545030548265743,-0.7310840243693665,-0.0059928707175038965,-0.02894167009544517,-0.7366809053397082,-0.02331270304362468,-0.008223705587156434,-0.5638025103031238,0.0015296459517068945,0.04371449074527937,0.6500055345321024
340,745,2017-09-27,-0.38921513978532335,-0.3698997678198806,-0.3864227154157116,-0.37187652374358526,0.0012,-0.20324933073188717,0.02411796454755317,1,-0.2861043663175726,2.3676982044008557,1.9569636644709953,0.7179919205691194,0.40238194288239465,0.41641473219422626,1.1821939646984563,-0.0019056936692454602,0.8528177142847209,-0.13538305673287673,1.379610527071708,-0.7512746781372578,-0.7122369684305417,-0.6727389820700981,-0.8506472049133832,0,-1.045120276865869,-1.088680983491443,-1.1006226616137986,0.11959878833943506,0.14007171069507124,1,-1.9066117156246005,0.0,-0.14171746858632334,0.3595,-0.14546879142125307,-0.10306380827416149,0.0,-0.10204667842189154,0.872,0.128,-0.18383238339190636,-0.2034633455148052,-0.1515280835989819,0.6299389910137356,-0.28758906029675474,0.41258434737103805,0.055105541972687244,-0.5335737890324208,-0.2949035094746129,-0.3432303439761156,-0.06477025794229975,-0.024539793336494198,0.01417591014322176,-0.1586912547840493,-0.18904477260865618,-0.06645628771566127,-0.06251314018692641,-0.06573832543202478,-0.02238177132131781,0.8299151112112934,0.7489721336935571,0.6032952773416576,1.1094361401337258,0.30031864364992544,1.324110606432718,0.0015296459517068945,-1.1728369068718918,-1.118372699543792
341,875,2018-04-05,-0.2468137102829444,-0.24974460961354522,-0.24411349691140294,-0.25085042001761465,0.0027,-0.20374079627355168,-0.10472700041789824,0,-0.46619843638229064,-0.29396769787865856,-0.251162835588834,-0.6263500800517691,-0.7829779415529999,-0.7707425858401338,-0.5474793566271859,-0.19152221375676176,-0.6152483248682324,-1.2814462271603808,0.13705567354253897,-0.5817195625270242,-0.5467744684253768,-0.6055841328002294,-0.7434162587118452,0,-0.3430101975209114,-0.6983310469555245,-0.7133304584034575,0.1828567155004637,0.19909922268048957,1,0.5150509209951133,0.0,0.1699043684156473,0.72778,-0.06865308647045547,-0.06545351685339865,0.0408,0.09336196445654053,0.7121999999999999,0.2469999999999999,-0.09095819911903816,-0.18746097188527147,-0.09962010974004648,0.9548477443272868,2.490211259178229,1.0860354326518085,0.2909335603074148,-0.2771749142543906,-0.058816435666528825,-0.25116105458366766,-0.07764712229647587,-0.06679917487331677,-0.05302211278275159,-0.06479363011606935,-0.0707162313540401,-0.03443907498876877,-0.05439856305155951,-0.047960810323344656,0.941017140167005,1.7402458511259724,0.6533681254655633,0.7798643494485119,1.7550102925534414,0.6216432089032785,0.7421421084173796,2.033554826048231,2.422124371130033,1.4573086413928367
