,Date,Open,High,Low,Close,Volume,Daily_Change,Daily_Change_Ind,MACD,PROC_3,PROC_5,PROC_10,wpr,sto_os,goog_trend_score,count,compound_times_retweets,likes_count,neg_times_retweets,pos_times_retweets,replies_count,retweets_count,pos_weighted,neg_weighted,compound_weighted,count_avg7,count_daily_diff,count_weekly_diff,replies_count_avg7,replies_count_daily_diff,replies_count_weekly_diff,retweets_count_avg7,retweets_count_daily_diff,retweets_count_weekly_diff,likes_count_avg7,likes_count_daily_diff,likes_count_weekly_diff,compound_weighted_avg7,compound_weighted_daily_diff,compound_weighted_weekly_diff,pos_weighted_avg7,pos_weighted_daily_diff,pos_weighted_weekly_diff,neg_weighted_avg7,neg_weighted_daily_diff,neg_weighted_weekly_diff,Daily_Change_Perc,RSI,Weekly_Change,Weekly_Change_Perc,Close/Last_Gold,Open_Gold,Daily_Change_Gold,Daily_Change_Perc_Gold,Increased_Gold,Close/Last_SP500,Open_SP500,Daily_Change_SP500,Daily_Change_Perc_SP500,Increased_SP500,label
268,2015-11-30,371.437012,382.363007,370.382996,377.321014,71701600,6.027007999999967,1.0,10.29655827080677,0.0538457008696343,0.1496469317985704,0.1717243246884592,11.760470883399597,111.7604708833996,40,9,78.907,194,1.066,31.445999999999994,16,187,0.1681604278074866,0.0057005347593582,0.4219625668449198,8.714285714285714,-5.0,0.2857142857142865,7.142857142857143,12.0,8.857142857142858,550.1428571428571,-1808.0,-363.1428571428571,363.57142857142856,-955.0,-169.57142857142856,0.165505339996389,1.16500898288502,0.2564572268485307,0.1219951887301226,0.1674907536220229,0.0461652390773639,0.0561767681235173,-0.3818363073459048,-0.050476233364159,0.016226191266044233,67.29366282268288,54.307006,0.16812585415800296,1065.3,1056.0,9.299999999999955,0.008806818181818138,1,2080.41,2090.95,-10.539999999999964,-0.0050407709414380854,0,0.0
1016,2018-11-15,5736.149902,5774.819824,5358.379883,5648.029785,7032140000,-90.32031300000016,0.0,-121.12660746413349,-0.1135158661820457,-0.1187649050064666,-0.1201980092791691,-111.40710397343103,-11.407103973431033,66,220,3205.919899999996,22188,160.507,898.2260000000005,1851,8883,0.1011174152876281,0.0180690082179443,0.3609050883710453,184.42857142857144,-26.0,35.571428571428584,1607.142857142857,-480.0,243.8571428571429,6716.571428571428,-143.0,2166.428571428572,13486.142857142857,2783.0,8701.857142857143,0.3540061266068822,-0.0173323811614165,0.0068989617641631,0.1149984119482372,-0.0109913815215896,-0.0138809966606091,0.0225019803016749,-0.0083675085115038,-0.0044329720837306,-0.015745807648525456,21.832725443060184,-794.5703130000002,-0.123330689614999,1215.0,1211.8,3.2000000000000455,0.00264069978544318,1,2730.2,2693.52,36.679999999999836,0.013617868068549643,1,0.0
1144,2019-05-23,7677.269043,7943.791504,7533.196777,7881.84668,24457107820,201.7802739999997,1.0,625.7291330372818,-0.0120905822284612,0.0839803608049937,0.0085646025153158,-15.922143892861817,84.07785610713819,42,202,2749.0199,15515,117.53000000000004,804.5800000000002,1980,5690,0.141402460456942,0.0206555360281195,0.483131792618629,197.28571428571428,-25.0,4.714285714285722,2410.8571428571427,585.0,-430.85714285714266,5502.142857142857,1277.0,187.85714285714312,16052.714285714286,2259.0,-537.7142857142862,0.4052082779560243,0.0493687742637684,0.0779235146626047,0.1207741325026693,0.0095864622697677,0.0206283279542727,0.021439895940294,-0.0054310264010669,-0.0007843599121744,0.026282819173046885,69.92241169016029,-5.079101000000264,-0.00064398995768872,1291.0,1278.5,12.5,0.009777082518576457,1,2822.24,2836.7,-14.460000000000036,-0.00509747241513027,0,1.0
1082,2019-02-25,3807.002441,3913.707275,3807.002441,3882.696289,9318796067,72.26879899999994,1.0,94.87694627617157,-0.0306652118257515,-0.0292823806295568,0.0723278605584558,-49.4307134415992,50.569286558400805,86,166,1386.6207000000009,12832,85.74799999999999,414.318,1258,4128,0.1003677325581395,0.0207722868217054,0.3359061773255816,161.0,22.0,5.0,1597.0,106.0,-339.0,3778.857142857143,1501.0,349.14285714285734,11549.714285714286,4084.0,1282.2857142857138,0.3093818799100477,0.0295854312273706,0.0265242974155339,0.1034511664132648,-0.0106741403006347,-0.0030834338551253,0.0242641197070893,-0.0184949381497449,-0.0034918328853839,0.01898312389340544,57.36468570809556,-28.965332000000217,-0.007404866475284574,1329.5,1331.9,-2.400000000000091,-0.001801937082363609,0,2796.11,2804.35,-8.239999999999782,-0.0029382922958973673,0,0.0
1149,2019-05-31,8320.286133,8586.65918,8172.550781,8574.501953,25365190957,255.02929700000092,1.0,608.7327477988747,-0.016681261046159,-0.0113814609308313,0.0767486086043103,-15.07108310329404,84.92891689670597,50,156,2124.963099999999,9243,91.94500000000002,581.6190000000004,1197,4709,0.1235122106604375,0.0195253769377787,0.4512557018475258,202.28571428571428,-42.0,-46.28571428571428,2200.714285714286,-459.0,-1003.7142857142858,5598.857142857143,474.0,-889.8571428571431,15293.857142857143,-4869.0,-6050.857142857143,0.4278293394126278,0.0961377561568527,0.0234263624348979,0.1292411553518117,-0.0129683088200819,-0.0057289446913742,0.0205736132981841,-0.0129211401814656,-0.0010482363604053,0.030651505600090032,70.44808931914612,692.8066400000007,0.08790071329670553,1311.1,1293.2,17.899999999999864,0.013841633158057426,1,2752.06,2766.15,-14.090000000000146,-0.0050937223216384305,0,0.0
148,2015-05-21,234.016006,236.242004,233.835007,235.343994,15108900,1.3259890000000212,1.0,-0.3542417895116614,0.0095054559854126,-0.0034257705809368,-0.0281386981198494,-71.4922145441242,28.5077854558758,54,7,20.654400000000003,161,3.402,16.452,28,132,0.1246363636363636,0.0257727272727272,0.1564727272727273,5.571428571428571,3.0,1.4285714285714288,33.285714285714285,16.0,-5.285714285714285,265.85714285714283,32.0,-133.85714285714283,164.0,66.0,-3.0,0.0976126796297782,-0.0799432727272726,0.058860047642949,0.0834003363405938,-0.0194336363636363,0.0412360272957698,0.032237619635137,-0.0214272727272727,-0.0064648923624097,0.005666232078159736,47.916267305096,-1.6110079999999982,-0.006798792962387003,1204.1,1209.4,-5.300000000000182,-0.0043823383495949905,0,2130.82,2125.55,5.269999999999982,0.0024793582837383176,1,1.0
568,2017-02-07,1040.140015,1061.930054,1040.140015,1061.349976,146007008,23.19995199999994,1.0,40.35654814561258,0.0176910073596852,0.0489721175999855,0.1516508912916003,12.282525830718267,112.28252583071828,50,45,80.92289999999998,1230,41.051,62.878,33,1290,0.0487426356589147,0.031822480620155,0.0627309302325581,39.71428571428572,8.0,5.285714285714285,29.571428571428573,8.0,3.428571428571427,1013.5714285714286,211.0,276.42857142857144,1122.571428571429,89.0,107.42857142857132,0.1253070949814257,-0.0448190234282389,-0.0625761647488676,0.074464932048689,-0.0091109324597136,-0.0257222963897742,0.0237308188219633,0.0176528791373005,0.0080916617981917,0.022304643284010123,68.76328197842156,90.408997,0.09311482258490607,1236.1,1236.9,-0.8000000000001819,-0.0006467782359125086,0,2293.08,2295.87,-2.7899999999999636,-0.00121522560075264,0,1.0
53,2014-12-29,317.700989,320.266998,312.307007,312.670013,12302500,-4.569001000000014,0.0,-11.466850083615782,-0.0465168682021275,-0.0305827729533889,-0.0162752497666403,-96.24726262227728,3.752737377722728,47,2,9.892899999999996,43,2.522,5.066,0,43,0.117813953488372,0.0586511627906976,0.230067441860465,5.428571428571429,-5.0,-3.428571428571429,26.142857142857142,-22.0,-26.142857142857142,522.2857142857143,-267.0,-479.28571428571433,383.8571428571428,-274.0,-340.85714285714283,0.241344766091571,0.0645106676669166,-0.0112773242311059,0.1216056004510204,-0.0267021755438859,-0.0037916469626483,0.0302677318293861,-0.0067456114028507,0.0283834309613115,-0.014381450351733134,38.239104317462285,-19.346985000000018,-0.05827106779635426,1181.9,1194.9,-13.0,-0.01087957151226044,0,2090.57,2087.63,2.9400000000000546,0.0014082955312962806,1,0.0
128,2015-04-20,222.612,226.350998,221.977005,224.626007,18364700,2.0260009999999795,1.0,-9.085410999486726,0.007824781582635,0.0035428825275994,-0.0484852024343792,-84.95304833976448,15.046951660235516,49,5,60.1484,248,0.0,39.11599999999999,2,397,0.098528967254408,0.0,0.1515073047858942,3.142857142857143,-1.0,1.8571428571428568,3.142857142857143,-11.0,-1.1428571428571428,118.28571428571428,184.0,278.7142857142857,121.14285714285714,-151.0,126.85714285714286,0.1549232355162237,0.0657284315464575,-0.0034159307303295,0.0787560812099345,0.0667261503529995,0.0197728860444734,3.9650822308041295e-18,0.0,-3.9650822308041295e-18,0.009101041273606003,36.299744196378406,-11.323990000000009,-0.04799317713066133,1193.7,1204.4,-10.700000000000045,-0.008884091663899075,0,2100.4,2084.11,16.289999999999964,0.007816286088546173,1,1.0
867,2018-04-17,8071.660156,8285.959961,7881.720215,7902.089844,6900879872,-156.58007799999996,0.0,-90.8112227032716,-0.0105369219475447,0.0016275113603954,0.1433927242112698,-25.225832785378135,74.77416721462185,62,344,9900.569700000004,41129,628.7669999999999,2847.484000000002,15865,29351,0.0970148887601786,0.0214223365473067,0.3373162652039114,316.57142857142856,-5.0,27.428571428571445,16476.85714285714,-7055.0,-611.8571428571413,33905.57142857143,-14558.0,-4554.571428571428,45373.857142857145,-16441.0,-4244.857142857145,0.3399920779381755,-0.027476597307191,-0.0026758127342641,0.0911966612212214,0.0014624279890382,0.0058182275389571,0.0130871846820241,0.0049824039594545,0.0083351518652826,-0.01939874511238032,47.93991802915507,1058.6196289999998,0.1546904707321795,1349.5,1349.1,0.40000000000009095,0.00029649395893565413,1,2706.39,2692.74,13.650000000000091,0.005069186033556931,1,1.0
437,2016-08-01,624.60199,626.119019,605.883972,606.271973,121887000,-18.40905699999996,0.0,-6.254865721312854,-0.0772003779211899,-0.0734772992743553,-0.0681613120811643,-138.0156149961255,-38.015614996125485,47,13,40.108,502,13.068,28.566,28,544,0.0525110294117647,0.0240220588235294,0.0737279411764706,16.285714285714285,2.0,-3.2857142857142847,19.428571428571427,19.0,8.571428571428573,1001.5714285714286,421.0,-457.57142857142856,569.7142857142857,331.0,-67.71428571428567,0.1822958031618782,-0.3285834409373506,-0.1085678619854076,0.0802914417076479,-0.1394889705882352,-0.0277804122958831,0.0059466605050891,0.0240220588235294,0.0180753983184402,-0.029473260243695287,38.977480533183694,-47.954039999999964,-0.07329888914093051,1359.6,1357.2,2.3999999999998636,0.0017683465959327023,1,2170.84,2173.15,-2.3099999999999454,-0.0010629731035593241,0,0.0
582,2017-02-28,1180.719971,1193.25,1171.819946,1179.969971,184956000,0.0,0.0,53.43805423579511,0.031586590846573,0.0113566239794827,0.119070125529594,-0.0,100.0,57,40,184.42410000000004,1145,11.646,93.482,23,1062,0.0880244821092278,0.0109661016949152,0.1736573446327683,57.285714285714285,-22.0,-17.285714285714285,81.0,-84.0,-58.0,1254.428571428571,-99.0,-192.42857142857133,1637.2857142857142,-432.0,-492.2857142857142,0.1476769304207559,0.0971349501452576,0.0259804142120124,0.0732896804700899,0.032980554460649,0.0147348016391379,0.0148831057260448,-0.0171880757383319,-0.0039170040311295,0.0,75.90446655878193,65.16992200000004,0.05845884386034867,1253.9,1253.3,0.6000000000001364,0.0004787361365994865,1,2363.64,2366.08,-2.4400000000000546,-0.001031241547200456,0,1.0
555,2017-01-19,888.335022,904.614014,884.338013,899.072998,105625000,12.455016999999998,1.0,-5.888799871464016,0.0812221764157166,0.0985579540393511,-0.0041591587628236,-48.51267227383326,51.48732772616674,51,27,211.5556,936,23.053,95.445,96,812,0.1175431034482758,0.0283903940886699,0.2605364532019704,46.285714285714285,-31.0,-19.285714285714285,62.42857142857143,-58.0,33.57142857142857,1578.0,-1553.0,-766.0,1557.142857142857,-1463.0,-621.1428571428571,0.2143938540543976,0.1383532819546131,0.0461425991475727,0.1019976282012969,0.058094054822483,0.0155454752469789,0.0196421804137535,0.0111967365833845,0.0087482136749163,0.014020630383296989,52.7039084067121,123.89501899999993,0.15982783613103635,1201.5,1203.1,-1.599999999999909,-0.0013298977641093086,0,2263.69,2271.9,-8.210000000000036,-0.0036137153924028506,0,0.0
